MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1925709,1700057G04Rik,RIKEN cDNA 1700057G04 gene,9,,phospholipid scramblase activity,,,IBA,PTN000582979 ,J:161428 
MGI:3034182,AA467197,expressed sequence AA467197,2,contributes_to,cytochrome-c oxidase activity,,,IBA,PTN001023184 ,J:161428 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,anion transmembrane transporter activity,,,IDA,,J:127947 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,"ATPase activity, coupled to transmembrane movement of substances",,,IBA,PTN000442469 ,J:161428 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,"ATPase activity, coupled to transmembrane movement of substances",,,ISO,RGD:631344 ,J:155856 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,cholesterol transporter activity,,,IDA,,J:94706 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,cholesterol transporter activity,happens in peritoneal macrophage,,IMP,,J:94706 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,cholesterol transporter activity,,,ISO,O95477 ,J:164563 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,phosphatidylcholine-translocating ATPase activity,,,ISO,O95477 ,J:164563 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,phosphatidylserine-translocating ATPase activity,,,ISO,O95477 ,J:164563 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,phospholipid transporter activity,,,IDA,,J:94706 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,phospholipid transporter activity,happens in peritoneal macrophage,,IMP,,J:94706 
MGI:99607,Abca1,"ATP-binding cassette, sub-family A (ABC1), member 1",4,,phospholipid transporter activity,,,ISO,O95477 ,J:164563 
MGI:99606,Abca2,"ATP-binding cassette, sub-family A (ABC1), member 2",2,,"ATPase activity, coupled to transmembrane movement of substances",,,IBA,PTN000442469 ,J:161428 
MGI:1351617,Abca3,"ATP-binding cassette, sub-family A (ABC1), member 3",17,,"ATPase activity, coupled to transmembrane movement of substances",,,IBA,PTN000442469 ,J:161428 
MGI:109424,Abca4,"ATP-binding cassette, sub-family A (ABC1), member 4",3,,"ATPase activity, coupled to transmembrane movement of substances",,,TAS,,J:48634 
MGI:109424,Abca4,"ATP-binding cassette, sub-family A (ABC1), member 4",3,,phosphatidylethanolamine-translocating ATPase activity,,,ISO,P78363 ,J:164563 
MGI:109424,Abca4,"ATP-binding cassette, sub-family A (ABC1), member 4",3,,phospholipid transporter activity,,,IMP,MGI:1857860 ,J:56317 
MGI:109424,Abca4,"ATP-binding cassette, sub-family A (ABC1), member 4",3,,phospholipid-translocating ATPase activity,,,IMP,MGI:1857860 ,J:56317 
MGI:2386607,Abca5,"ATP-binding cassette, sub-family A (ABC1), member 5",11,,"ATPase activity, coupled to transmembrane movement of substances",,,IBA,PTN000442469 ,J:161428 
MGI:1923434,Abca6,"ATP-binding cassette, sub-family A (ABC1), member 6",11,,"ATPase activity, coupled to transmembrane movement of substances",,,IBA,PTN000442469 ,J:161428 
MGI:1351646,Abca7,"ATP-binding cassette, sub-family A (ABC1), member 7",10,,"ATPase activity, coupled to transmembrane movement of substances",,,IBA,PTN000442469 ,J:161428 
MGI:1351646,Abca7,"ATP-binding cassette, sub-family A (ABC1), member 7",10,,phosphatidylcholine-translocating ATPase activity,,,ISO,Q8IZY2 ,J:164563 
MGI:1351646,Abca7,"ATP-binding cassette, sub-family A (ABC1), member 7",10,,phosphatidylserine-translocating ATPase activity,,,ISO,Q8IZY2 ,J:164563 
MGI:1351646,Abca7,"ATP-binding cassette, sub-family A (ABC1), member 7",10,,phospholipid transporter activity,,,IDA,,J:94706 
