MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1913382,1110008L16Rik,RIKEN cDNA 1110008L16 gene,12,,hydrolase activity,,,IEA,KW-0378 ,J:60000 
MGI:1913382,1110008L16Rik,RIKEN cDNA 1110008L16 gene,12,,nuclease activity,,,IEA,KW-0540 ,J:60000 
MGI:1913382,1110008L16Rik,RIKEN cDNA 1110008L16 gene,12,,ribonuclease P activity,,,IBA,PTN001005190 ,J:161428 
MGI:1913382,1110008L16Rik,RIKEN cDNA 1110008L16 gene,12,,ribonuclease P activity,,,ISO,O15091 ,J:164563 
MGI:1922721,1700009N14Rik,RIKEN cDNA 1700009N14 gene,4,,GTPase activity,,,IBA,PTN000632582 ,J:161428 
MGI:1923663,1700016D06Rik,RIKEN cDNA 1700016D06 gene,8,,lysozyme activity,,,IBA,PTN001685978 ,J:161428 
MGI:1920876,1810009J06Rik,RIKEN cDNA 1810009J06 gene,6,,serine-type endopeptidase activity,,,IBA,PTN001208002 ,J:161428 
MGI:1919311,2010111I01Rik,RIKEN cDNA 2010111I01 gene,13,,aminopeptidase activity,,,ISO,Q8N6M6 ,J:73065 
MGI:1919311,2010111I01Rik,RIKEN cDNA 2010111I01 gene,13,,aminopeptidase activity,,,ISS,Q8N6M6 ,J:114125 
MGI:1919311,2010111I01Rik,RIKEN cDNA 2010111I01 gene,13,,hydrolase activity,,,IEA,KW-0378 ,J:60000 
MGI:1919311,2010111I01Rik,RIKEN cDNA 2010111I01 gene,13,,metalloaminopeptidase activity,,,IBA,PTN000164249 ,J:161428 
MGI:1919311,2010111I01Rik,RIKEN cDNA 2010111I01 gene,13,,metallopeptidase activity,,,ISO,Q8N6M6 ,J:164563 
MGI:1919311,2010111I01Rik,RIKEN cDNA 2010111I01 gene,13,,metallopeptidase activity,,,ISS,Q8N6M6 ,J:114125 
MGI:1919311,2010111I01Rik,RIKEN cDNA 2010111I01 gene,13,,peptidase activity,,,IEA,KW-0645 ,J:60000 
