MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1923919,1700128F08Rik,RIKEN cDNA 1700128F08 gene,9,,"mRNA splicing, via spliceosome",,,IBA,PTN000359236 ,J:161428 
MGI:1921450,2810403A07Rik,RIKEN cDNA 2810403A07 gene,3,,mRNA splice site selection,,,ISO,Q7Z7F0 ,J:164563 
MGI:1921450,2810403A07Rik,RIKEN cDNA 2810403A07 gene,3,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1915545,Aar2,AAR2 splicing factor homolog,2,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1915545,Aar2,AAR2 splicing factor homolog,2,,spliceosomal tri-snRNP complex assembly,,,IBA,PTN000294070 ,J:161428 
MGI:1891824,Acin1,apoptotic chromatin condensation inducer 1,14,,"negative regulation of mRNA splicing, via spliceosome",,,ISO,Q9UKV3 ,J:164563 
MGI:1891824,Acin1,apoptotic chromatin condensation inducer 1,14,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1202294,Aff2,"AF4/FMR2 family, member 2",X,,regulation of RNA splicing,,,IDA,,J:157426 
MGI:1202294,Aff2,"AF4/FMR2 family, member 2",X,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1316648,Ahnak,AHNAK nucleoprotein (desmoyokin),19,,regulation of RNA splicing,regulates UniProtKB:E9Q616,,IDA,,J:205645 
MGI:2443758,Akap17b,A kinase (PRKA) anchor protein 17B,X,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1933427,Akr1c6,"aldo-keto reductase family 1, member C6",13,,"negative regulation of mRNA splicing, via spliceosome",,,IMP,,J:204486 
MGI:104874,Akt2,thymoma viral proto-oncogene 2,7,,negative regulation of RNA splicing,,,ISO,RGD:2082 ,J:155856 
MGI:1341044,Alyref,Aly/REF export factor,11,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1913144,Alyref2,Aly/REF export factor 2,1,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1276102,Aqr,aquarius,2,,"mRNA splicing, via spliceosome",,,IEA,IPR026300 ,J:72247 
MGI:1276102,Aqr,aquarius,2,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1929500,Arl6ip4,ADP-ribosylation factor-like 6 interacting protein 4,5,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1915433,Bcas2,breast carcinoma amplified sequence 2,3,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1891374,Brdt,"bromodomain, testis-specific",5,,regulation of RNA splicing,,,IMP,,J:190257 
MGI:1891374,Brdt,"bromodomain, testis-specific",5,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2141291,Bud31,BUD31 homolog,5,,"mRNA splicing, via spliceosome",,,IBA,PTN000454176 ,J:161428 
MGI:1194505,C1qbp,"complement component 1, q subcomponent binding protein",11,,"negative regulation of mRNA splicing, via spliceosome",,,ISO,Q07021 ,J:164563 
MGI:1194505,C1qbp,"complement component 1, q subcomponent binding protein",11,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1917562,Cactin,"cactin, spliceosome C complex subunit",10,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2179723,Casc3,cancer susceptibility candidate 3,11,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2444228,Ccar2,cell cycle activator and apoptosis regulator 2,14,,RNA splicing,,,ISO,Q8N163 ,J:164563 
MGI:1917483,Cd2bp2,CD2 antigen (cytoplasmic tail) binding protein 2,7,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1918952,Cdc5l,cell division cycle 5-like (S. pombe),17,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1918963,Cdc40,cell division cycle 40,10,,"mRNA splicing, via spliceosome",,,IEA,IPR032847 ,J:72247 
